date,decision,cumulative_savings_usd
2024-12-13,FIX NOW,0.0
2024-12-16,FIX NOW,0.0
2024-12-17,FIX NOW,0.0
2024-12-18,FIX NOW,0.0
2024-12-19,FIX NOW,0.0
2024-12-20,FIX NOW,0.0
2024-12-23,FIX NOW,0.0
2024-12-24,FIX NOW,0.0
2024-12-26,FIX NOW,0.0
2024-12-27,FIX NOW,0.0
2024-12-30,FIX NOW,0.0
2024-12-31,FIX NOW,0.0
2025-01-02,FIX NOW,0.0
2025-01-03,FIX NOW,0.0
2025-01-06,FIX NOW,0.0
2025-01-07,FIX NOW,0.0
2025-01-08,FIX NOW,0.0
2025-01-10,FIX NOW,0.0
2025-01-13,FIX NOW,0.0
2025-01-14,FIX NOW,0.0
2025-01-15,FIX NOW,0.0
2025-01-16,FIX NOW,0.0
2025-01-17,FIX NOW,0.0
2025-01-21,FIX NOW,0.0
2025-01-22,FIX NOW,0.0
2025-01-23,FIX NOW,0.0
2025-01-24,FIX NOW,0.0
2025-01-27,FIX NOW,0.0
2025-01-28,FIX NOW,0.0
2025-01-29,FIX NOW,0.0
2025-01-30,FIX NOW,0.0
2025-01-31,FIX NOW,0.0
2025-02-03,FIX NOW,0.0
2025-02-04,FIX NOW,0.0
2025-02-05,FIX NOW,0.0
2025-02-06,FIX NOW,0.0
2025-02-07,FIX NOW,0.0
2025-02-10,FIX NOW,0.0
2025-02-11,FIX NOW,0.0
2025-02-12,FIX NOW,0.0
2025-02-13,FIX NOW,0.0
2025-02-14,FIX NOW,0.0
2025-02-18,FIX NOW,0.0
2025-02-19,FIX NOW,0.0
2025-02-20,FIX NOW,0.0
2025-02-21,FIX NOW,0.0
2025-02-24,FIX NOW,0.0
2025-02-25,FIX NOW,0.0
2025-02-26,FIX NOW,0.0
2025-02-27,FIX NOW,0.0
2025-02-28,FIX NOW,0.0
2025-03-03,FIX NOW,0.0
2025-03-04,FIX NOW,0.0
2025-03-05,FIX NOW,0.0
2025-03-06,FIX NOW,0.0
2025-03-07,FIX NOW,0.0
2025-03-10,FIX NOW,0.0
2025-03-11,FIX NOW,0.0
2025-03-12,FIX NOW,0.0
2025-03-13,FIX NOW,0.0
2025-03-14,FIX NOW,0.0
2025-03-17,FIX NOW,0.0
2025-03-18,FIX NOW,0.0
2025-03-19,FIX NOW,0.0
2025-03-20,FIX NOW,0.0
2025-03-21,FIX NOW,0.0
2025-03-24,FIX NOW,0.0
2025-03-25,FIX NOW,0.0
2025-03-26,FIX NOW,0.0
2025-03-27,FIX NOW,0.0
2025-03-28,FIX NOW,0.0
2025-03-31,FIX NOW,0.0
2025-04-01,FIX NOW,0.0
2025-04-02,FIX NOW,0.0
2025-04-03,FIX NOW,0.0
2025-04-04,FIX NOW,0.0
2025-04-07,FIX NOW,0.0
2025-04-08,FIX NOW,0.0
2025-04-09,FIX NOW,0.0
2025-04-10,FIX NOW,0.0
2025-04-11,FIX NOW,0.0
2025-04-14,FIX NOW,0.0
2025-04-15,FIX NOW,0.0
2025-04-16,FIX NOW,0.0
2025-04-17,FIX NOW,0.0
2025-04-21,FIX NOW,0.0
2025-04-22,FIX NOW,0.0
2025-04-23,FIX NOW,0.0
2025-04-24,FIX NOW,0.0
2025-04-25,FIX NOW,0.0
2025-04-28,FIX NOW,0.0
2025-04-29,FIX NOW,0.0
2025-04-30,FIX NOW,0.0
2025-05-01,FIX NOW,0.0
2025-05-02,FIX NOW,0.0
2025-05-05,FIX NOW,0.0
2025-05-06,FIX NOW,0.0
2025-05-07,FIX NOW,0.0
2025-05-08,FIX NOW,0.0
2025-05-09,FIX NOW,0.0
2025-05-12,FIX NOW,0.0
2025-05-13,FIX NOW,0.0
2025-05-14,FIX NOW,0.0
2025-05-15,FIX NOW,0.0
2025-05-16,FIX NOW,0.0
2025-05-19,FIX NOW,0.0
2025-05-20,FIX NOW,0.0
2025-05-21,FIX NOW,0.0
2025-05-22,FIX NOW,0.0
2025-05-23,FIX NOW,0.0
2025-05-27,FIX NOW,0.0
2025-05-28,FIX NOW,0.0
2025-05-29,FIX NOW,0.0
2025-05-30,FIX NOW,0.0
2025-06-02,FIX NOW,0.0
2025-06-03,FIX NOW,0.0
2025-06-04,FIX NOW,0.0
2025-06-05,FIX NOW,0.0
2025-06-06,FIX NOW,0.0
2025-06-09,FIX NOW,0.0
2025-06-10,FIX NOW,0.0
2025-06-11,FIX NOW,0.0
2025-06-12,FIX NOW,0.0
2025-06-13,FIX NOW,0.0
2025-06-16,FIX NOW,0.0
2025-06-17,FIX NOW,0.0
2025-06-18,FIX NOW,0.0
2025-06-20,FIX NOW,0.0
2025-06-23,FIX NOW,0.0
2025-06-24,FIX NOW,0.0
2025-06-25,FIX NOW,0.0
2025-06-26,FIX NOW,0.0
2025-06-27,FIX NOW,0.0
2025-06-30,FIX NOW,0.0
2025-07-01,FIX NOW,0.0
2025-07-02,FIX NOW,0.0
2025-07-03,FIX NOW,0.0
2025-07-07,FIX NOW,0.0
2025-07-08,FIX NOW,0.0
2025-07-09,FIX NOW,0.0
2025-07-10,FIX NOW,0.0
2025-07-11,FIX NOW,0.0
2025-07-14,FIX NOW,0.0
2025-07-15,FIX NOW,0.0
2025-07-16,FIX NOW,0.0
2025-07-17,FIX NOW,0.0
2025-07-18,FIX NOW,0.0
2025-07-21,FIX NOW,0.0
2025-07-22,FIX NOW,0.0
2025-07-23,FIX NOW,0.0
2025-07-24,FIX NOW,0.0
2025-07-25,FIX NOW,0.0
2025-07-28,FIX NOW,0.0
2025-07-29,FIX NOW,0.0
2025-07-30,FIX NOW,0.0
2025-07-31,FIX NOW,0.0
2025-08-01,FIX NOW,0.0
2025-08-04,FIX NOW,0.0
2025-08-05,FIX NOW,0.0
2025-08-06,FIX NOW,0.0
2025-08-07,FIX NOW,0.0
2025-08-08,FIX NOW,0.0
2025-08-11,FIX NOW,0.0
2025-08-12,FIX NOW,0.0
2025-08-13,FIX NOW,0.0
2025-08-14,FIX NOW,0.0
2025-08-15,FIX NOW,0.0
2025-08-18,FIX NOW,0.0
2025-08-19,FIX NOW,0.0
2025-08-20,FIX NOW,0.0
2025-08-21,FIX NOW,0.0
2025-08-22,FIX NOW,0.0
2025-08-25,FIX NOW,0.0
2025-08-26,FIX NOW,0.0
