,Pearson_Corr,Spearman_Rank_Corr,Abs_Pearson
target_freight_rate_proxy,0.9416392750677708,0.9548747629485197,0.9416392750677708
freight_lag_1,0.9378255595976303,0.9518608481068829,0.9378255595976303
freight_roll_mean_7,0.9334692824946158,0.9482678631812188,0.9334692824946158
freight_roll_mean_14,0.9250565459119586,0.9386358660019045,0.9250565459119586
bdi_proxy,0.9221042811498046,0.9200891037704619,0.9221042811498046
bpi_daily_hire_proxy,0.9221040851777121,0.9200891037704619,0.9221040851777121
freight_lag_7,0.9145756567496455,0.9320434515753792,0.9145756567496455
freight_roll_mean_30,0.9073400999393022,0.9110368204492783,0.9073400999393022
bpi_lag_7,0.8995466290172714,0.8992201639605696,0.8995466290172714
freight_lag_14,0.8923508977818256,0.9036116398045577,0.8923508977818256
freight_lag_30,0.8336372476380126,0.8287229656755384,0.8336372476380126
bunker_to_freight_ratio,-0.740738799859304,-0.7098270619251964,0.740738799859304
freight_roll_std_7,0.5666445209988141,0.5526673600079286,0.5666445209988141
freight_roll_std_30,0.5160940411745341,0.5482526420248416,0.5160940411745341
bunker_price_proxy,0.42180408553875803,0.39190620312674895,0.42180408553875803
bunker_lag_7,0.39455855844464827,0.37501978571554734,0.39455855844464827
usd_inr,-0.33934774577961757,-0.33659807082417237,0.33934774577961757
coal_price_aus,0.2119250677276839,0.2954518936068884,0.2119250677276839
freight_spread_to_ma14,0.12801651076024217,0.1253230964060481,0.12801651076024217
bunker_pct_change_14d,0.1099092974222543,0.08169150153233908,0.1099092974222543
cos_month,-0.10479867414028417,-0.09145473296395558,0.10479867414028417
bpi_pct_change_7d,0.08663596025485236,0.09904461566400066,0.08663596025485236
bunker_pct_change_7d,0.07912366419095794,0.05722651535371324,0.07912366419095794
sin_month,-0.04921919487165999,9.923400301624095e-05,0.04921919487165999
