Scheme,Fold,Model,MAE ($/MT),MAPE (%),RMSE ($/MT),Directional Accuracy (%),Accuracy (±10%),Max Outlier Miss ($/MT)
Scheme 1 (Anchor Walk-Forward),Fold 1,LightGBM (Solo Baseline),1.132,14.59,1.282,41.54,29.97,3.097
Scheme 1 (Anchor Walk-Forward),Fold 1,Hybrid: LightGBM + TCN,0.761,9.65,0.911,59.05,52.23,2.735
Scheme 1 (Anchor Walk-Forward),Fold 1,Hybrid: LightGBM + PatchTST,1.083,13.52,1.246,57.27,29.97,2.944
Scheme 1 (Anchor Walk-Forward),Fold 1,Hybrid: LightGBM + Bi-LSTM,0.774,9.66,0.927,58.46,54.01,2.376
Scheme 1 (Anchor Walk-Forward),Fold 1,Hybrid: LightGBM + Uni-LSTM,0.883,11.01,1.076,58.16,48.66,2.781
Scheme 1 (Anchor Walk-Forward),Fold 1,TCN (Solo Causal),1.42,17.280000686645508,1.609,56.97,17.21,3.377
Scheme 1 (Anchor Walk-Forward),Fold 1,PatchTST (Solo Transformer),2.302,28.1299991607666,2.504,56.97,0.0,4.61
Scheme 1 (Anchor Walk-Forward),Fold 1,Bi-LSTM (Solo Attention),1.555,18.700000762939453,1.84,56.68,24.63,4.089
Scheme 1 (Anchor Walk-Forward),Fold 1,Uni-LSTM (Solo Attention),1.784,21.59000015258789,2.113,56.68,18.99,5.035
Scheme 1 (Anchor Walk-Forward),Fold 2,LightGBM (Solo Baseline),0.767,8.67,0.969,55.59,60.25,2.638
Scheme 1 (Anchor Walk-Forward),Fold 2,Hybrid: LightGBM + TCN,0.762,8.82,0.914,59.01,60.25,2.36
Scheme 1 (Anchor Walk-Forward),Fold 2,Hybrid: LightGBM + PatchTST,0.793,8.76,1.018,58.7,63.98,2.919
Scheme 1 (Anchor Walk-Forward),Fold 2,Hybrid: LightGBM + Bi-LSTM,0.803,8.64,1.054,61.8,61.8,2.895
Scheme 1 (Anchor Walk-Forward),Fold 2,Hybrid: LightGBM + Uni-LSTM,0.751,8.21,1.018,60.87,67.7,3.161
Scheme 1 (Anchor Walk-Forward),Fold 2,TCN (Solo Causal),0.908,10.449999809265137,1.038,58.7,49.69,2.405
Scheme 1 (Anchor Walk-Forward),Fold 2,PatchTST (Solo Transformer),1.034,11.15999984741211,1.311,63.66,48.76,3.859
Scheme 1 (Anchor Walk-Forward),Fold 2,Bi-LSTM (Solo Attention),1.033,10.699999809265137,1.349,66.46,51.55,3.461
Scheme 1 (Anchor Walk-Forward),Fold 2,Uni-LSTM (Solo Attention),0.897,9.350000381469727,1.301,67.08,66.15,3.978
Scheme 1 (Anchor Walk-Forward),Fold 3,LightGBM (Solo Baseline),0.683,7.61,0.845,51.55,74.53,2.736
Scheme 1 (Anchor Walk-Forward),Fold 3,Hybrid: LightGBM + TCN,0.956,10.46,1.123,33.85,48.76,2.617
Scheme 1 (Anchor Walk-Forward),Fold 3,Hybrid: LightGBM + PatchTST,0.778,8.83,0.933,47.83,64.6,2.856
Scheme 1 (Anchor Walk-Forward),Fold 3,Hybrid: LightGBM + Bi-LSTM,0.743,8.48,0.894,49.69,69.57,2.705
Scheme 1 (Anchor Walk-Forward),Fold 3,Hybrid: LightGBM + Uni-LSTM,0.758,8.92,0.911,53.73,61.49,2.896
Scheme 1 (Anchor Walk-Forward),Fold 3,TCN (Solo Causal),1.313,14.40999984741211,1.509,31.37,23.29,3.454
Scheme 1 (Anchor Walk-Forward),Fold 3,PatchTST (Solo Transformer),0.932,10.710000038146973,1.155,48.76,48.45,2.976
