origin_port,destination_port,distance_nm,commodity
Gladstone,Haldia,5250,Coking Coal
Gladstone,Paradip,5100,Coking Coal
Gladstone,Vizag,4950,Coking Coal
Gladstone,Dhamra,5150,Coking Coal
Gladstone,Gangavaram,4920,Coking Coal
Gladstone,Gopalpur,5020,Coking Coal
Taboneo,Haldia,2150,Thermal Coal
Taboneo,Paradip,2000,Thermal Coal
Taboneo,Vizag,1900,Thermal Coal
Taboneo,Dhamra,2050,Thermal Coal
Taboneo,Gangavaram,1880,Thermal Coal
Taboneo,Gopalpur,1950,Thermal Coal
Norfolk,Haldia,9800,Met Coal
Norfolk,Paradip,9650,Met Coal
Norfolk,Vizag,9500,Met Coal
Norfolk,Dhamra,9700,Met Coal
Norfolk,Gangavaram,9480,Met Coal
Norfolk,Gopalpur,9580,Met Coal
Maputo,Haldia,4650,Coking Coal
Maputo,Paradip,4500,Coking Coal
Maputo,Vizag,4350,Coking Coal
Maputo,Dhamra,4550,Coking Coal
Maputo,Gangavaram,4320,Coking Coal
Maputo,Gopalpur,4420,Coking Coal
Vostochny,Haldia,4800,PCI Coal
Vostochny,Paradip,4900,PCI Coal
Vostochny,Vizag,4850,PCI Coal
Vostochny,Dhamra,4820,PCI Coal
Vostochny,Gangavaram,4870,PCI Coal
Vostochny,Gopalpur,4880,PCI Coal
Ust-Luga,Paradip,9350,Met Coal
Ust-Luga,Vizag,9200,Met Coal
Ust-Luga,Haldia,9500,Met Coal
